city,»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
shanghai,2020/1/4,¡º,84,164,62,48,6,50,0.75,45
,,,,,,,,,,
shanghai,2020/1/5,¡º,59,105,42,39,6,50,0.63,55
,,,,,,,,,,
shanghai,2020/1/6,”≈,35,77,23,32,7,47,0.65,47
,,,,,,,,,,
shanghai,2020/1/7,”≈,47,172,33,31,6,51,1.15,17
,,,,,,,,,,
shanghai,2020/1/8,¡º,58,180,41,40,6,44,1.14,28
,,,,,,,,,,
shanghai,2020/1/9,”≈,48,104,34,31,6,46,0.83,34
,,,,,,,,,,
shanghai,2020/1/10,”≈,25,30,16,19,4,37,0.57,47
,,,,,,,,,,
shanghai,2020/1/11,”≈,41,109,28,20,5,38,0.68,47
,,,,,,,,,,
shanghai,2020/1/12,«·∂»Œ€»æ,143,300,108,79,11,55,1.38,44
,,,,,,,,,,
shanghai,2020/1/13,÷–∂»Œ€»æ,160,298,121,87,9,68,1.33,42
,,,,,,,,,,
shanghai,2020/1/14,÷–∂»Œ€»æ,159,294,121,89,9,63,1.29,44
,,,,,,,,,,
shanghai,2020/1/15,¡º,55,103,39,27,5,47,0.61,51
,,,,,,,,,,
shanghai,2020/1/16,”≈,20,23,10,9,4,34,0.44,57
,,,,,,,,,,
shanghai,2020/1/17,¡º,55,127,39,34,6,40,0.72,48
,,,,,,,,,,
shanghai,2020/1/18,¡º,91,200,67,52,7,42,0.92,45
,,,,,,,,,,
shanghai,2020/1/19,«·∂»Œ€»æ,112,267,84,64,6,56,1.02,39
,,,,,,,,,,
shanghai,2020/1/20,÷–∂»Œ€»æ,167,339,127,103,10,76,1.36,51
,,,,,,,,,,
shanghai,2020/1/21,«·∂»Œ€»æ,132,301,100,68,6,58,0.98,72
,,,,,,,,,,
shanghai,2020/1/22,¡º,95,232,71,40,4,52,1.12,36
,,,,,,,,,,
shanghai,2020/1/23,”≈,49,128,36,22,4,36,0.75,46
,,,,,,,,,,
shanghai,2020/1/24,¡º,61,191,43,52,5,25,0.75,87
,,,,,,,,,,
shanghai,2020/1/25,”≈,26,40,14,15,4,20,0.53,66
,,,,,,,,,,
shanghai,2020/1/26,”≈,25,99,15,19,4,18,0.55,72
,,,,,,,,,,
shanghai,2020/1/27,”≈,34,100,22,20,4,19,0.63,67
,,,,,,,,,,
shanghai,2020/1/28,«·∂»Œ€»æ,108,283,81,65,6,24,1.1,51
,,,,,,,,,,
shanghai,2020/1/29,¡º,92,276,68,54,8,21,0.93,74
,,,,,,,,,,
shanghai,2020/1/30,¡º,94,275,70,58,9,22,1.08,76
,,,,,,,,,,
shanghai,2020/1/31,¡º,69,173,51,43,9,32,0.94,69
